TECHNIQUE ATT&CK ID, CONGLOMERATE CVSS 3.1 RISK SCORES FROM CVE SCRAPING, LIST OF CVE ID MATCHING TECHNIQUE
T1555.002, {'baseScore': 6.49, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1615, {'baseScore': 6.39, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1542.003, {'baseScore': 0, 'attackComplexity': 'NONE', 'confidentialityImpact': 'NONE', 'integrityImpact': 'NONE', 'availabilityImpact': 'NONE', 'privilegesRequired': 'NONE'}
T1025, {'baseScore': 6.4, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1218.013, {'baseScore': 0, 'attackComplexity': 'NONE', 'confidentialityImpact': 'NONE', 'integrityImpact': 'NONE', 'availabilityImpact': 'NONE', 'privilegesRequired': 'NONE'}
T1074.001, {'baseScore': 6.39, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1036.005, {'baseScore': 6.68, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1587.003, {'baseScore': 7.24, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1565.001, {'baseScore': 6.43, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1110.002, {'baseScore': 6.89, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1114.001, {'baseScore': 6.22, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1555.001, {'baseScore': 0, 'attackComplexity': 'NONE', 'confidentialityImpact': 'NONE', 'integrityImpact': 'NONE', 'availabilityImpact': 'NONE', 'privilegesRequired': 'NONE'}
